wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
sym2,0.9977262599418809,0.03836390133989862,0.9605209418203353,hard,20,1
db4,0.9979040106367014,0.036836209071067175,0.9596684519255292,hard,20,1
haar,0.999785626632135,0.014386853370913638,0.9541445850343586,soft,2,1
sym2,0.9997243785324823,0.013733919150162498,0.9538736875193291,soft,2,9
coif1,0.999721822243556,0.013742764046659365,0.9537914812073528,soft,2,4
sym2,0.9997217687410667,0.01374573271293727,0.9537673055768188,soft,2,4
coif1,0.9997241768124483,0.013730633116390199,0.9532985407377381,soft,2,9
db4,0.9997273015728035,0.013629189489112448,0.9512933824124262,soft,2,9
db4,0.9997250422709385,0.013638348402769524,0.9511779575328615,soft,2,4
bior1.3,0.9997880376521588,0.014289606131347207,0.9498957423498109,soft,2,1
sym2,0.999794042462817,0.014171048248812101,0.9428033093301663,soft,2,1
coif1,0.9997938206143069,0.014173777977389298,0.9424868753256122,soft,2,1
db4,0.9997985216316967,0.014054177464739179,0.9419253741057259,soft,2,1
haar,0.9999677838158166,0.00456908262820423,0.929592426615545,hard,2,4
haar,0.9999677811444464,0.004569272055926762,0.9295648693916472,hard,2,9
haar,0.9999730378147247,0.00417994028211007,0.927191906050257,hard,2,1
bior1.3,0.9999662734087691,0.0046749758588974,0.9245583429568294,hard,2,4
bior1.3,0.9999662712082728,0.004675129110949617,0.9245447129701521,hard,2,9
bior1.3,0.9999714182667707,0.004303657819417338,0.9230071086211041,hard,2,1
coif1,0.9999634574528486,0.004866209471594293,0.9210009741483545,hard,2,4
sym2,0.9999634219024878,0.004868578438050644,0.9209649075574309,hard,2,4
sym2,0.9999634151997583,0.004869032407337567,0.9209468753212298,hard,2,9
coif1,0.999963450473664,0.004866672113076583,0.9209333516074715,hard,2,9
db4,0.9999617071208767,0.004981384210662207,0.9203747187163682,hard,2,9
db4,0.999961709430056,0.004981234043871152,0.9203747187163682,hard,2,4
coif1,0.9999692480096888,0.004464044112239197,0.9196908667852883,hard,2,1
sym2,0.9999692870722541,0.004461211641272764,0.9196908667852883,hard,2,1
db4,0.9999675793483832,0.004583558154659619,0.9193897546410997,hard,2,1
