wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
db4,0.9910122030301145,0.07897580880840172,0.7041034383454237,hard,50,4
haar,0.999768568846325,0.01296636801113132,0.7037359807753155,soft,2,4
haar,0.9997690796754244,0.012952521848194419,0.7036650186946162,soft,2,9
db4,0.9909408364859984,0.07928298639340613,0.7029638555936253,hard,50,9
coif1,0.9544226607241243,1.1980177277521844,0.7018406023759116,soft,150,1
db4,0.9997907608550305,0.012268197564191388,0.6975645088199818,soft,2,9
db4,0.9997907527677768,0.012280460494294234,0.6974866523959053,soft,2,4
sym2,0.9997821828565997,0.012536720303435122,0.6968418100675625,soft,2,9
sym2,0.9997820176147426,0.012549899705654396,0.6966380420156357,soft,2,4
coif1,0.9997826816141839,0.012519598482429915,0.6960592725833963,soft,2,9
coif1,0.9997825518078324,0.012532709876006872,0.6958238710251035,soft,2,4
sym2,0.9998494076599862,0.013231304765552811,0.6867407236403195,soft,2,1
coif1,0.9998493840324459,0.013233941713426326,0.6839139296146368,soft,2,1
sym2,0.9999725871193854,0.0043713911561696454,0.683079060259578,hard,2,1
coif1,0.9999718858494764,0.0044269474086938735,0.6823649197031281,hard,2,1
haar,0.9487483762664611,1.2109512370836815,0.6819509243522287,soft,150,1
db4,0.9998562278174904,0.013014569327664906,0.6817690920185611,soft,2,1
haar,0.9999759430218824,0.004095272782609185,0.6816625361580613,hard,2,1
haar,0.9999710278656924,0.004493754885939906,0.6815130256443646,hard,2,4
haar,0.9999710161219961,0.0044946655483784756,0.6814412062566957,hard,2,9
bior1.3,0.9792424614456496,0.1207402788193765,0.6803654526213588,soft,50,9
db4,0.9999697497470115,0.004592019187540215,0.6799500143923797,hard,2,1
bior1.3,0.9999745905949837,0.004208585903817095,0.6792148513144954,hard,2,1
coif1,0.9999658076786526,0.004881831746614414,0.6786371589473369,hard,2,4
coif1,0.9999657940790526,0.004882802877148437,0.6785956382127409,hard,2,9
db4,0.9999638567458758,0.005019171626507639,0.6782545906354358,hard,2,4
db4,0.999963843247873,0.005020108335006233,0.6781840055751658,hard,2,9
sym2,0.9999662608627607,0.004849372969014028,0.6780022548918401,hard,2,4
sym2,0.9999662465479668,0.004850401501530957,0.6779147089015035,hard,2,9
haar,0.9998366366684828,0.013632386828777049,0.6764102085663201,soft,2,1
bior1.3,0.9999690643165561,0.0046435749081691815,0.673191341236849,hard,2,4
bior1.3,0.9999690548791937,0.00464428295294267,0.673024697261834,hard,2,9
bior1.3,0.999842957416241,0.013345382127264648,0.6716446760804903,soft,2,1
bior1.3,0.9997966849352347,0.012029537726694234,0.6707604849943168,soft,2,9
bior1.3,0.9997962497164232,0.012071169351072393,0.6703271764937554,soft,2,4
bior1.3,0.9794237967087637,0.12558767424693054,0.6699691935724535,soft,50,4
db4,0.9928818517112804,0.25536978881453826,0.6571114015404613,soft,50,1
coif1,0.9897704142329096,0.08422975210042025,0.6557721809828178,hard,50,4
db4,0.9976245415063698,0.040666813304388254,0.6555178199805629,hard,20,4
coif1,0.9896992434297273,0.0845143558130095,0.6550909066729041,hard,50,9
db4,0.9976166062100654,0.040734339744446534,0.6549735709626302,hard,20,9
db4,0.9970687358865331,0.09955262309373628,0.6548782986523856,soft,20,1
