wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
sym2,0.817435275192715,0.31598577291277224,1.141452211503325,soft,20,9
db4,0.8174027845272073,0.31604844779330427,1.1436475531246344,soft,20,9
haar,0.8159878120195104,0.3171424410477852,1.1448197692425843,soft,20,9
bior1.3,0.8156185131275269,0.31802508945950314,1.13270960351327,soft,20,9
bior1.3,0.862234260733866,0.3183573429572975,1.1601818555429981,hard,150,1
coif1,0.8190231439897174,0.319005105839457,1.1427344039758724,soft,20,4
db4,0.8189201423080953,0.31915372372858675,1.1433302738685085,soft,20,4
sym2,0.8188412326071708,0.3191656306868806,1.1410335240268241,soft,20,4
haar,0.8172999915694481,0.32039748924593847,1.1443997679185385,soft,20,4
bior1.3,0.8166888355428429,0.3214586995834316,1.1322547281101647,soft,20,4
db4,0.7599838157858687,0.37278580024463115,1.0529336455195037,hard,50,4
db4,0.7599626004628988,0.37278916940540613,1.0526411462290315,hard,50,9
coif1,0.7598815276067926,0.37286395068807515,1.05087782156933,hard,50,4
coif1,0.7598543042269055,0.3728775328641272,1.0506006362934766,hard,50,9
sym2,0.7598341162805166,0.3728856670198615,1.0485125246179288,hard,50,9
sym2,0.7598424702330414,0.3728937731195551,1.0487900701605128,hard,50,4
haar,0.7589992321234602,0.37367907560778885,1.0468517870428098,hard,50,9
haar,0.7589944688082548,0.37369335674838544,1.0467804598138015,hard,50,4
db4,0.7993299462661589,0.37576308797609304,1.0997643094363878,soft,20,1
coif1,0.7993987387492465,0.3758783157591077,1.0940377049918883,soft,20,1
sym2,0.7992279880475073,0.37603504638936824,1.0916400291373405,soft,20,1
bior1.3,0.7565042566082878,0.37648219370937397,1.0362968428510335,hard,50,9
bior1.3,0.7565069600316424,0.3764859156724884,1.0367035690005706,hard,50,4
haar,0.797993745440029,0.37717185726631897,1.0871727279904337,soft,20,1
bior1.3,0.7971781800332687,0.37779828513355646,1.0853847610424339,soft,20,1
db4,0.7571199178066096,0.379329032880643,1.0465156151820088,hard,50,1
coif1,0.7572299629117334,0.3795810222286702,1.0480060177479014,hard,50,1
sym2,0.7571368210431353,0.3796004330394791,1.0480274163946142,hard,50,1
haar,0.7560777254619345,0.38051835325544636,1.0424853360758615,hard,50,1
bior1.3,0.7548431506864628,0.38194383702042883,1.0426249064554833,hard,50,1
coif1,0.7446224640246214,0.3883964153009463,1.0321729969858524,soft,2,9
sym2,0.7446088551377028,0.38840612390735557,1.0321409197000297,soft,2,9
db4,0.7446123140303538,0.3884131502138874,1.0322531989240553,soft,2,9
haar,0.7444600310255394,0.3885153294290073,1.0323848514741956,soft,2,9
bior1.3,0.7444853315671155,0.3886375158995337,1.0316501029635599,soft,2,9
coif1,0.7448005642760711,0.388754386281413,1.032163562283053,soft,2,4
sym2,0.7447859867481872,0.38876813600060356,1.032147523684125,soft,2,4
db4,0.7448021876514541,0.388769258288423,1.0321824318611332,soft,2,4
haar,0.7446253714197841,0.38888308417212275,1.032365030663629,soft,2,4
bior1.3,0.7446216721074748,0.38901697325708096,1.031602507736756,soft,2,4
db4,0.7430267825317003,0.39395165049211206,1.0291307793225102,soft,2,1
coif1,0.7430350002122351,0.3939591576507781,1.028754808601161,soft,2,1
sym2,0.7430204535831503,0.3939731228217408,1.0285809798984904,soft,2,1
haar,0.7429037572533004,0.3940928742192671,1.028210560054488,soft,2,1
bior1.3,0.7428478286649709,0.3941292129432048,1.0280982224595494,soft,2,1
db4,0.7378900611232375,0.3956981649920236,1.0278689427387961,hard,20,9
db4,0.7378915172903299,0.3956981888922473,1.0279714040960273,hard,20,4
sym2,0.7378553589249245,0.39572996917212183,1.0278773634498004,hard,20,9
sym2,0.7378556236233562,0.39573044545468283,1.0278198246743022,hard,20,4
coif1,0.7378387212248234,0.3957472968889333,1.0278277768043453,hard,20,9
coif1,0.7378389504190732,0.395748328776332,1.0278521017306925,hard,20,4
haar,0.7377794251436915,0.3958044286109576,1.0276729662776962,hard,20,9
haar,0.7377793631042835,0.3958057920899217,1.0276781102892494,hard,20,4
bior1.3,0.7375640675966357,0.3960556495459588,1.0272069455328932,hard,20,4
bior1.3,0.7375652115411288,0.39605575915635405,1.0271462116874204,hard,20,9
db4,0.7377000533149846,0.3961903688138814,1.0268870056445798,hard,20,1
sym2,0.7377097549945155,0.396241853543728,1.0261376792234393,hard,20,1
coif1,0.737682869486117,0.3962498348305572,1.026296224933471,hard,20,1
