wavelet,pearson correlation,nrmse,compression ratio,mode,threshold,levels
db4,0.9998958642785896,0.007428459662652589,1.4932936060619537,soft,2,9
haar,0.9999246720412109,0.008936023036532044,1.4932589592134646,soft,2,1
bior1.3,0.9999038744395412,0.007096096581111646,1.492915464969729,soft,2,9
coif1,0.9893126559694407,0.0758617537569102,1.4919406871665295,soft,50,9
coif1,0.9948852879829584,0.1883312214449893,1.4913558552904715,soft,50,1
coif1,0.9999276074662857,0.008793890153685795,1.4899719492385395,soft,2,1
coif1,0.9981864066011796,0.0731937980163217,1.4890239764323008,soft,20,1
bior1.3,0.9999259196488202,0.00878763677026491,1.4839199938515928,soft,2,1
haar,0.9978752685534923,0.07485778236699069,1.4834724951355795,soft,20,1
coif1,0.996666364474337,0.04236280294902098,1.483310094224025,soft,20,9
sym2,0.9891258281428087,0.07648555296215878,1.4823165196162165,soft,50,9
db4,0.9999284560237197,0.008743073200569239,1.4809067359003218,soft,2,1
sym2,0.9966188486753192,0.04266052427742405,1.4778349913796898,soft,20,9
haar,0.993318171934988,0.19217912482587585,1.4768543837843007,soft,50,1
db4,0.9967709497403954,0.04167740708097718,1.4742607898906217,soft,20,9
db4,0.9825231131553289,0.09456542653699633,1.4719764124242638,hard,150,4
db4,0.997268224327861,0.03810781846890893,1.4692126238895125,hard,50,1
haar,0.9999831992787361,0.0029444071477642544,1.4603560880236284,hard,2,4
haar,0.9999831808719379,0.002946018935621521,1.4603478040543734,hard,2,9
sym2,0.9999851866650554,0.00276483377086772,1.457198436238217,hard,2,1
coif1,0.9999850240363286,0.0027799544116584762,1.4559485275959123,hard,2,1
coif1,0.9999816043203993,0.0030809987660666313,1.454396685655101,hard,2,4
coif1,0.9999815845508412,0.003082652737726504,1.454385730346177,hard,2,9
bior1.3,0.9716379558411105,0.7937132292656093,1.4543282176819508,soft,150,1
sym2,0.9999816482117091,0.003077321657072402,1.4542186823325614,hard,2,9
sym2,0.99998166520602,0.0030758957710847984,1.4541173768232456,hard,2,4
sym2,0.99918504269569,0.020624072300665423,1.4531843873949137,hard,20,1
haar,0.9999863518079375,0.0026539022924553226,1.4526158788435062,hard,2,1
bior1.3,0.9999859883788541,0.0026889625230458376,1.4493610073751573,hard,2,1
db4,0.9991798572107424,0.02066859074772389,1.449290293040293,hard,20,1
db4,0.9999844784396056,0.0028301285853760123,1.4491815152288454,hard,2,1
db4,0.9999810081434664,0.0031305260219441165,1.4482738575205805,hard,2,9
db4,0.9999810259582375,0.003129057215332872,1.4481353631302725,hard,2,4
sym2,0.9967126344655319,0.04179912809364106,1.447907312454889,hard,50,1
